Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,atomic_mass_weighted,atomic_radius_weighted,melting_point_weighted,PC1,PC2,PC3
AB,TiCu,1.6,126.0,500.0,0.15,147.19671233730688,4.110047647986045e-15,-33.12534177328579,0.8986078848883727,56.80974217550914,1.3714817839928912,1608.34641756348,-1.1949920535143062,-0.164640437669958,-1.3129426437967535
AB,TiFe,1.9,28.1,30.0,5.2,106.40059606234054,4.313248552071831,1.4616913445867017,0.9963755804734398,52.16285207112003,1.4000000000000001,1870.9999035791425,-2.354811196699125,0.37567708641764047,-0.7843715151264158
AB,Ti1Fe0.6Ni0.4,1.5,48.6,50.0,0.035,122.5221069738912,0.0076797015643149,-4.869174591390732,0.7920244138264443,52.840651617909394,1.3888044561367634,1851.7633159932307,-1.7898279431491926,0.18594135018688496,-0.9268428506472435
AB,Ti1Mn0.2Fe0.7,2.0,34.7,40.0,1.4,113.6069998806453,0.7160157767194152,-0.3340530777399251,1.0437031034218198,51.84434906122105,1.4,1841.7753743642843,-2.3743755161844744,0.3860926887702141,-0.8211636092275754
AB,Ti1Be0.2Fe0.8,1.4,30.5,21.0,0.7,100.7231420594093,0.8274895474763463,-0.1893588032592206,0.6644793526031102,50.90256590174853,1.3933133730250038,1872.1613945918427,-3.4270572328110687,0.6044455254566471,-1.4854996022067481
AB,Ti1V0.05Fe0.8Ni0.15,1.3,41.0,150.0,7.0,113.07096133583066,0.0528651881013207,-2.9400102266592545,0.6787760253333013,52.29046495425125,1.394537184190996,1872.9812867113656,-2.107850328949194,0.3037077303235416,-0.7964012174282183
AB,Ti1Fe0.8Ni0.2,1.0,41.9,50.0,0.28,119.07750904339922,0.0757261773330141,-2.580631374708493,0.5224951899951901,52.5036032188204,1.3943716480210138,1861.3290660449657,-2.061878027359902,0.28160429223249006,-0.8433582043541054
AB,Ti1Mn0.05Fe0.95,1.6,29.3,50.0,9.0,108.93804200203068,3.6067059056670914,1.2827948642660227,0.8361292767615177,52.13720936156787,1.4,1863.2888935385681,-2.3428379431495863,0.37795113461472885,-0.7771261385780897
AB,Ti1Al0.1Fe0.9,1.3,30.0,25.0,1.2,102.13634345272838,1.2000000000000008,0.1823215567939553,0.6587289024078898,51.28503963090817,1.3959859116851159,1849.2343073974707,-2.1664898437230766,0.30744366324879785,-0.7023447011116862
AB,Ti1Fe0.9Co0.1,1.5,30.6,50.0,5.0,108.07398979419207,1.924057490611676,0.6544362325723925,0.7857506911711385,52.34874600070616,1.39716724040037,1868.3856011728496,-2.2454860960197838,0.3583833113484866,-0.6846450781875412
AB,Ti1Cr0.1Fe0.9,1.1,30.5,150.0,20.0,96.98545361899276,0.5278644188036328,-0.6389158108190417,0.5700594485772066,51.95545247535715,1.4,1889.792159095517,-2.345938114883052,0.38538011307160125,-0.7607622281129676
AB,Ti1Mn0.1Fe0.9,1.9,29.5,25.0,2.6,106.88775890335351,2.600000000000001,0.9555114450274368,0.9955042562153134,52.111544207998286,1.4,1855.5711343655203,-2.335505375184159,0.37987181662060454,-0.775324752488752
AB,Ti1Fe0.9Ni0.1,1.4,35.6,50.0,1.8,115.05250958057572,0.5925849497878128,-0.5232610410807836,0.7324546427766507,52.333694291634245,1.3971781161812222,1866.1512409415518,-2.1886216982970237,0.3301424956377193,-0.7907279002895593
AB,ErAg,0.3,35.2,790.0,0.01,-5.178960397200568,3.65153843488012e-07,-14.822947083157208,0.4106474184458136,143.97384792285163,1.6911900022971191,1579.6707640175161,-0.5772455147202911,-0.24457869641043392,1.5545125693049373
AB,HfCo,1.3,59.0,50.0,0.001,125.14557454822528,0.0001586042602992,-8.749098387212227,1.5511679286076134,148.8136050603987,1.5003559919661598,2322.8136103551296,-0.6294661968536656,-0.07373409489325909,0.4935673955475695
AB,HfNi,1.3,50.0,50.0,0.02,122.20172573034142,0.0042007875194439,-5.472483266640087,1.5496012648558242,148.84513546715328,1.5005080035112068,2313.476133658595,-0.12811216059575625,-0.3612660617735428,-0.6461986871279236
AB,Li0.94Pd1,0.9,69.2,300.0,0.02,88.21110067183629,3.047861129830459e-08,-17.30624066824515,0.5245318135680627,100.67333252355537,1.4028883822095337,1748.656460530097,-0.36436448203097577,0.061820663138044483,1.719057555274493
AB,UCo,0.6,55.0,150.0,0.08,108.97823979275478,0.0001139202318451,-9.080012075144866,0.8891506928475617,202.4867229059281,1.6706185651196135,1477.2791160777906,-0.261582129678248,-0.2926374268380985,0.4839648890986623
AB,Hf0.5Zr0.5Co1,1.1,76.2,200.0,0.2,147.66717064845412,2.308461485627652e-06,-12.97892927886059,1.069147600289695,121.59217142491669,1.4891783521348954,2192.5990360864234,-1.0636036443100438,0.056708517316296086,0.18287655879848347
AB,Hf0.3Zr0.7Co1,1.4,80.3,200.0,0.03,140.55954157208177,1.8781778931590424e-07,-15.487793549866536,1.241949761945008,106.93160687074216,1.4831584447154724,2122.469769658942,-1.2386508289678302,0.10877955234275491,0.05696702696115232
AB,ZrCo,1.7,76.3,200.0,0.005,117.20858980146023,5.685683897917631e-08,-16.68272932531892,1.2881042781855028,78.5506125691015,1.471504667158973,1986.7084008861516,-1.5023817773505375,0.18679776333463857,-0.1332582684095918
AB,Zr1Co0.84Ni0.16,1.6,83.0,250.0,0.01,120.36618850011102,5.5704395291024795e-09,-19.0057918760482,1.210791939282488,78.54062557376524,1.471535721184202,1984.2620286594058,-1.4202160436039422,0.1409410624341028,-0.3133343656448935
AB,ZrNi,2.0,64.0,300.0,1.0,111.66361336473874,4.1694944791718575e-06,-12.387715757518617,1.517628360868157,78.48810998296396,1.4716990155912524,1971.3980311825046,-0.9987073983005699,-0.10055752045003946,-1.27030235585559
AB2,CaNi2,2.1,85.0,25.0,0.05,260.1844025040857,0.0499999999999999,-2.995732273553992,1.1169617523550108,53.95540140475839,1.4645341689063207,1571.9790099120564,1.7883514326638164,-1.3262321960594408,-2.63303972829266
AB2,DyFe2,1.5,58.0,80.0,0.0001,87.65992597511006,2.614755205396812e-06,-12.854340076532177,1.3807811618725323,119.05459006528321,1.6074291549655348,1733.3622305700428,-1.4581279219840966,-0.0005954384716062037,-0.4626194147483783
AB2,Ce0.5Th1.5Al1,0.4,133.0,650.0,0.0003,76.62973058967334,5.027494542157073e-20,-44.43678010281463,0.5911166207156671,205.13914556770175,1.7745292471307657,1878.5789252481027,0.8614868849854829,-1.0086738506530462,0.7614596358678671
AB2,Zr0.5Ti0.5Mn1.2Fe0.3,1.9,39.0,120.0,1.5,102.5698804697131,0.0334994686463266,-3.396225701580591,1.1699547052732069,64.79869999314586,1.444945413375681,1799.9641268752696,-2.3131337512241426,0.38252313171631136,-0.9477164164977134
AB2,Zr0.5Ti0.5Mn2,1.8,40.0,70.0,1.5,119.93820031408868,0.1807517251545121,-1.7106308735655071,1.0875617665599846,63.21932332304072,1.4381325346631917,1730.1097388001076,-2.2782136485249875,0.3795660299456878,-0.9907592990303257
AB2,Zr0.4Ti0.6Mn1.4Cr0.4Cu0.2,1.8,48.0,20.0,0.3,153.72867899722445,0.4174028293033868,-0.8737035059638623,1.064583351517797,61.59514135108163,1.4275463225811946,1781.145254431966,-2.1307589123381456,0.31999094094138786,-0.9758202555243092
AB2,Zr0.4Ti0.6Mn1.9Cu0.1,1.7,40.6,20.0,0.5,132.73271482119557,0.6611368676753244,-0.4137943990286888,1.006224081037694,61.62005929575666,1.4293026832835676,1708.361558856987,-2.1868798811300554,0.34263566747679974,-0.9962491634510241
AB2,Zr0.3Ti0.7Mn1.9Mo0.1,1.7,41.0,17.0,0.9,140.43023684071255,1.420024941763026,0.3506744360807625,0.9999544348837648,61.51217374983625,1.4262211603759947,1770.7436520035583,-2.260533197385374,0.38305082432692644,-0.9549164151828297
AB2,Zr0.2Ti0.8Cr1.8,2.3,23.0,0.0,3.0,93.3368562112798,7.013375851791718,1.947819161700853,1.256616332069293,55.710094277279005,1.4182288339719515,2112.7195953304367,-2.3669436693742756,0.4576721726395628,-0.7182793264772237
AB2,Zr0.2Ti0.8Mn1Cr1,1.46,30.0,0.0,2.0,115.5926997355848,6.054539488098582,1.8008083192983042,0.8235125750270672,56.39568766750419,1.4167411598075994,1896.068849695831,-2.300838445184407,0.41938208977961344,-0.825897309446441
AB2,Zr0.2Ti0.8Mn0.8Cr1Fe0.2,1.8,28.0,20.0,12.0,116.17415084220004,14.549603472532237,2.677563740499213,0.9919863252836776,56.45596960984562,1.4167226042152752,1915.5792335113774,-2.2933212938515406,0.4163215738793482,-0.7989443946739074
AB2,Zr0.2Ti0.8Mn1.2Cr0.8,2.0,28.9,20.0,5.0,111.9654651913867,6.0999925659975744,1.8082875524896007,1.1072031503077422,56.5769390577432,1.416681119223666,1852.8181658773199,-2.2853812303911765,0.4121554832420279,-0.8434993451278255
AB2,Zr0.2Ti0.8Mn1.2V0.2Cr0.6,1.9,30.5,20.0,2.2,110.59765902303924,2.713708031696302,0.9983159770318396,1.0494198859009003,56.51726014550374,1.4135935600225216,1852.5835348784287,-2.1958984697225263,0.39762451133526544,-0.755512947664756
AB2,Zr0.2Ti0.8Mn1.4V0.2Cr0.4,1.9,29.0,20.0,9.0,117.19353927380445,10.98754411950132,2.396762278429975,1.0531883757665488,56.697660465145944,1.4135449199175207,1809.5877311396655,-2.1827615977213557,0.39022122170207363,-0.775836978575635
AB2,Zr0.2Ti0.8Mn1.5Cr0.5,2.0,27.5,30.0,10.0,109.85822647786034,8.327888943668015,2.1196099959293253,1.113159469144801,56.84639153301698,1.416591861514048,1788.520706989894,-2.262195408201332,0.4013155734356497,-0.8699023986499024
